Date,Adj Close,new_cases
2021-07-01,163.9060516,1172555
2021-07-02,166.8886566,1180462
2021-07-06,165.8911591,1219689
2021-07-07,167.3133392,1251137
2021-07-08,166.9874268,1289064
2021-07-09,167.6491241,1386812
2021-07-12,167.3824615,1201467
2021-07-13,167.1750793,1463212
2021-07-14,168.3108368,1471424
2021-07-15,166.2862091,1587522
2021-07-16,166.0195618,1670112
2021-07-19,164.8146515,1437020
2021-07-20,166.3652191,1508631
2021-07-21,167.3923492,1607388
2021-07-22,167.8762817,1620841
2021-07-23,169.6638794,2107615
2021-07-26,169.7428894,1555403
2021-07-27,170.5231171,1742475
2021-07-28,170.049057,1828075
2021-07-29,170.049057,1848487
2021-07-30,170.0688019,2093884
2021-08-02,170.1379547,1676158
2021-08-03,172.2317047,1819003
2021-08-04,171.2144623,1934761
2021-08-05,171.5403748,1989711
2021-08-06,170.9675446,2401041
2021-08-09,171.5601196,2082688
2021-08-10,171.6193848,2072533
2021-08-11,171.6490021,2346892
2021-08-12,173.0316772,2250905
2021-08-13,174.0686798,2772385
2021-08-16,175.6390076,2356792
2021-08-17,177.2488403,2336224
2021-08-18,174.9970551,2474254
2021-08-19,176.3599854,2435115
2021-08-20,177.2192078,2744337
2021-08-23,176.4542084,2396161
2021-08-24,174.2486572,2379161
2021-08-25,173.0962067,2501817
2021-08-26,172.1722565,2519636
2021-08-27,171.804657,2551555
2021-08-30,172.5299225,2409669
2021-08-31,172.0033722,2126886
2021-09-01,172.6094055,2570974
2021-09-02,173.7916412,2354494
2021-09-03,173.9009247,2511404
2021-09-07,171.1986389,2565721
2021-09-08,170.7813568,2212413
2021-09-09,166.9763031,2278468
2021-09-10,165.8834534,2253929
2021-09-13,164.7210693,2153688
2021-09-14,163.7275696,1953439
2021-09-15,164.3435364,2005598
2021-09-16,164.1448364,2074683
2021-09-17,163.6779022,2221693
2021-09-20,162.7440186,1893740
2021-09-21,163.4593201,1740078
2021-09-22,162.8632202,1915914
2021-09-23,163.7871857,1872333
2021-09-24,163.2904358,1986829
2021-09-27,162.1081696,1696436
2021-09-28,161.7505188,1643618
2021-09-29,162.952652,1788239
2021-09-30,160.4490509,1775322
2021-10-01,159.4257507,1901886
2021-10-04,158.1838837,1660473
2021-10-05,158.5415344,1592255
2021-10-06,158.8694,1868017
2021-10-07,160.2900848,1682241
2021-10-08,159.8827515,1790488
2021-10-11,159.2071838,1435786
2021-10-12,156.6638489,1652078
2021-10-13,158.1640167,1732167
2021-10-14,159.0680847,1696711
2021-10-15,160.250351,1746204
2021-10-18,159.0780182,1558687
2021-10-19,162.8036194,1683098
2021-10-20,162.7142029,1795161
2021-10-21,162.3366699,1737841
2021-10-22,162.6546021,1829328
2021-10-25,163.0122528,1648848
2021-10-26,164.6713867,1719957
2021-10-27,162.674469,1464066
2021-10-28,161.7902679,1326276
2021-10-29,161.8200684,1515432
2021-11-01,161.9591522,1235371
2021-11-02,164.5124207,1262864
2021-11-03,163.9858704,1627979
2021-11-04,163.5288849,1580604
2021-11-05,162.3664856,1517948
2021-11-08,161.8101196,1471183
2021-11-09,161.4524689,1491059
2021-11-10,163.2010193,1421851
2021-11-11,161.9988861,1291081
2021-11-12,163.936203,1299171
2021-11-15,162.4559021,1212406
2021-11-16,161.6114349,1193076
2021-11-17,162.2174683,1439204
2021-11-18,161.3431854,1302339
2021-11-19,161.8300018,1302937
2021-11-22,159.6999969,1366826
2021-11-23,160.6900024,1232692
2021-11-24,160.2400055,1449886
2021-11-26,159.1999969,1272077
2021-11-29,159.75,1436444
2021-11-30,155.9299927,1343060
2021-12-01,158.0800018,1548542
2021-12-02,157.0899963,1115485
2021-12-03,159.3800049,1121923
2021-12-06,162.9400024,877923
2021-12-07,163.3600006,1056993
2021-12-08,164.3399963,1043742
2021-12-09,165.8999939,1128676
2021-12-10,165.4900055,1074918
2021-12-13,168.4499969,786238
2021-12-14,170.2899933,755147
2021-12-15,171.1399994,859389
2021-12-16,173.0099945,861499
2021-12-17,168.2299957,872425
2021-12-20,167.75,923277
2021-12-21,167.2100067,894734
2021-12-22,167.9299927,1093431
2021-12-23,168.25,1191243
2021-12-27,169.6699982,1687896
2021-12-28,170.3500061,1221028
2021-12-29,171.5500031,1670232
2021-12-30,172.3099976,1857979
2021-12-31,171.0700073,1672219
2022-01-03,171.5399933,2561681
2022-01-04,171.0800018,2572242
2022-01-05,172.2200012,2400965
2022-01-06,171.6300049,2678958
2022-01-07,173.9499969,2652568
2022-01-10,173.0899963,2890371
